,名字,描述,图标路径,大小配置（数组）,开场动画,提示,随机删减比率,随机种子（默认使用关卡id随机， 大于0，当前数字随机，等于0关卡id随机，小于0纯随机）,冲突个数,提示,最小缩放
id,id_name,id_describe,icon_url,size,anim,tip,removeRatio,seed_id,bug_count,tip,scaleMin
175,,,,15;15,0,0,0.2,-1,2,0,0.6
176,,,,15;15,0,0,0.2,-1,2,0,0.6
177,,,,15;15,0,0,0.2,-1,2,0,0.6
178,,,,15;15,0,0,0.2,-1,2,0,0.6
179,,,,15;15,0,0,0.2,-1,2,0,0.6
180,,,,15;15,0,0,0.2,-1,2,0,0.6
181,,,,15;15,0,0,0.2,-1,2,0,0.6
182,,,,15;15,0,0,0.2,-1,2,0,0.6
183,,,,15;15,0,0,0.2,-1,2,0,0.6
184,,,,15;15,0,0,0.2,-1,2,0,0.6
185,,,,15;15,0,0,0.2,-1,2,0,0.6
186,,,,15;15,0,0,0.2,-1,2,0,0.6
187,,,,15;15,0,0,0.2,-1,2,0,0.6
188,,,,15;15,0,0,0.2,-1,2,0,0.6
189,,,,15;15,0,0,0.2,-1,2,0,0.6
190,,,,15;15,0,0,0.2,-1,2,0,0.6
191,,,,15;15,0,0,0.2,-1,2,0,0.6
192,,,,15;15,0,0,0.2,-1,2,0,0.6
193,,,,15;15,0,0,0.2,-1,2,0,0.6
194,,,,15;15,0,0,0.2,-1,2,0,0.6
195,,,,15;15,0,0,0.2,-1,2,0,0.6
196,,,,15;15,0,0,0.2,-1,2,0,0.6
197,,,,15;15,0,0,0.2,-1,2,0,0.6
198,,,,15;15,0,0,0.2,-1,2,0,0.6
199,,,,15;15,0,0,0.2,-1,2,0,0.6
200,,,,15;15,0,0,0.2,-1,2,0,0.6
